,date,body,ngram
631,2016-05-13,"일부 위원은 국내 통화정책 운영의 가장 중    - 7 -  요한 대외 리스크로 주요국 통화정책기조의 차별화(divergence)를 들 수 있다고  지적한 후, 미국의 1/4분기 성장률이 예상보다 부진하고 4월 비농업취업자수도 증  가폭이 축소되면서 시장에서는 미국의 금리인상이 예상보다 지연될 수 있다는 관  측이 있다고 언급하였음","금리/NNG;인상/NNG;예상/NNG;지연/NNG,취업자/NNG;수도/NNG;증가/NNG,대외/NNG;위험/NNG,예상/NNG;부진/NNG"
632,2016-05-13,"한편 일각에서는 주당평균노동시간, 시간당평균임금, 장  기실업자수 등 세부지표를 보면 미국 노동시장의 슬랙(slack)이 축소되는 등 노동  시장의 개선세가 지속되고 있으며 이에 따라 앞으로 미국의 임금인상 압력이 가  시화될 수 있다는 점에서 최근의 금리인상 지연기대가 다소 과도해 보인다는 견  해도 있다고 설명하였음","임금/NNG;인상/NNG;압력/NNG,금리/NNG;인상/NNG;지연/NNG,노동시장/NNG;개선/NNG"
633,2016-05-13,"이에 대해 관련부서에서는 미국의 노동시장 슬랙이 축소되면서 기대인플레이  션 압력이 다소 높아질 수 있고, 일부 미 지역연준 총재들도 이러한 점을 감안하  여 6월 금리인상 가능성을 배제하지 않고 있는 것으로 이해하고 있다고 설명하였  음","금리/NNG;인상/NNG;가능성/NNG;배제/NNG,기대/NNG;인플레이션/NNG;압력/NNG"
634,2016-05-13,"다만 미국 정책금리 결정에는 임금인상 압력 외에도 미 달러화 움직임이나  국제유가 향방, 신흥국 실물경기 등 다양한 요인들이 복합적으로 영향을 미칠 것  으로 보인다고 답변하였음",임금/NNG;인상/NNG;압력/NNG
636,2016-05-13,"이에 대해 관련부서에서는 주요 선진국 간 통화정책 차별화가 확대될 가능성  을 배제하기는 어려우나, 과거 미 연준의 금리인상기와 이번 점도표(dot chart)를  비교해 보면 미국의 금리인상 속도가 과거보다 완만하게 진행될 것으로 보인다고  답변하였음",금리/NNG;인상/NNG
637,2016-05-13,"이와 더불어 동 위원은 미국의 금리정상화 속도를 결정하는 중요한 변수 중  의 하나는 미국의 금리인상이 중국 등 신흥국 경제에 부정적 영향을 미치게 되고  이것이 다시 미국으로 피드백(feedback)되어 미국경제의 회복세를 제약할 가능성  이라고 언급하면서, 미국경제의 회복세가 이러한 부정적 효과를 상쇄하고 세계경  제의 동반성장을 견인할 수 있을 정도로 충분히 견조해지지 못할 경우에는 국제  금융시장의 위험선호와 위험회피(risk on/off) 현상이 반복되면서 금융안정 리스크  만 높일 가능성도 있다고 지적하였음","국제/NNG;금융시장/NNG;위험/NNG;선호/NNG,신흥국/NNG;경제/NNG;부정적/VAX,부정적/VAX;효과/NNG;상쇄/NNG,경제/NNG;회복/NNG;제약/NNG,위험/NNG;선호/NNG;위험/NNG,금융안정/NNG;위험/NNG,금리/NNG;인상/NNG,위험/NNG;회피/NNG,위험/NNG;높/VV"
638,2016-05-13,"한편 동 위원은 중국경제의 자본유출이 진정된 것으로 보는 시각도 있지만,    - 8 -  큰 폭의 무역수지 흑자에도 불구하고 중국의 외환보유액이 소폭 증가에 그친 점  을 감안해 보면 여전히 순유출규모가 작지는 않을 것이라는 주장도 있다고 소개  하였음","소폭/MAG;증가/NNG;그치/VV,무역/NNG;흑자/NNG"
639,2016-05-13,"이에 대해 관련부서에서는 중국의 외환보유액이 지난 1∼2월 크게 감소하였  다가 3∼4월 소폭 증가로 돌아섰는데, 이를 근거로 자본유출 우려가 일부 완화되  었다는 평가도 있지만, 한편에서는 큰 폭의 무역수지 흑자, 미 달러화 약세에 따  른 환평가변동까지 고려해 보면 크게 진정된 것으로 보기는 어렵다는 지적도 있  다고 부연 설명한 후, 중국의 자본유출에는 자본자유화 등에 따른 해외투자 확대  나 기업의 외화부채 상환 등에 기인한 부분도 있다고 답변하였음","자본/NNG;유출/NNG;우려/NNG;완화/NNG,해외/NNG;투자/NNG;확대/NNG,무역/NNG;흑자/NNG"
640,2016-05-13,"다음으로 동 위원은 최근 IMF의 세계금융안정보고서에 따르면 중국기업의 잠  재부실이 크게 늘어나면서 은행이 감내하여야 할 잠재손실도 상당한 것으로 추정  되었다는 분석이 있는데, 은행부문 자본건전성 및 채권시장 스프레드(spread) 추  이 등을 감안할 때 중국의 금융 불안정성이 높아지고 있는 것은 아닌지 우려된다  는 의견을 나타내었음","불안정성/NNG;높/VA,높/VA;우려/NNG"
641,2016-05-13,"또한 중국이 이러한 문제에 대응하여 기업부채의 출자전  환(debt-equity swap)을 고려중인 것으로 알려져 있지만 이 경우 기업부문의 부실  이 은행부문으로 이전되어 금융시스템의 불안정을 초래할 가능성이 있다는 지적  도 있다면서, 중국의 금융상황이 국내 자본흐름 등에 미치는 영향에 대해 지속적  으로 모니터링 할 필요가 있다는 견해를 밝혔음",금융시스템/NNG;불안정/NNG
642,2016-05-13,"이와 관련하여 관련부서에서는 기업부채의 출자전환이 은행의 부실위험을 증  대시키고 신용창출능력을 제약하여 중국경제의 하방위험을 가중시킬 수 있다는  지적은 인지하고 있으며, 혹시라도 이러한 위험이 현재화될 경우에는 우리나라의  외화자금 조달·운용에 부정적 요인으로 작용할 것으로 보인다고 답변하였음","은행/NNG;부실/NNG;위험/NNG,경제/NNG;하방/NNG;위험/NNG"
644,2016-05-13,"예를 들어  작년 초에는 글로벌 디플레이션 우려 등으로 대다수 국가의 장기 시장금리가 크  게 하락하였었고, 4월말부터는 독일 국채를 중심으로 주요국 국채금리가 급등하  는, 이른바 분트 탠트럼(Bund tantrum)이 발생하여 시장참가자들을 불안하게 만들  었으며, 하반기 들어서는 중국의 환율제도 개편 및 주가하락 등의 영향으로 글로  벌 경기둔화 우려가 확산되면서 신흥시장국에서 자본유출 및 환율급등 현상이 나  타났다고 설명하였음","글로벌/NNG;경기/NNG;둔화/NNG;우려/NNG;확산/NNG,글로벌/NNG;디플레이션/NNG;우려/NNG,국채/NNG;금리/NNG;급등/NNG,유출/NNG;환율/NNG;급등/NNG"
645,2016-05-13,비록 국제금융시장이 금년 2월 중순부터는 어느 정도 안정  된 모습을 유지하고 있지만 여러 가지 리스크 요인들이 잠재되어 있어 변동성이    - 9 -  다시 확대될 가능성도 배제할 수 없는 만큼 관련부서에서는 이에 대한 경계감을  늦추어서는 안 될 것이라고 당부하였음,국제/NNG;금융시장/NNG;안정/NNG
646,2016-05-13,"이에 대해 관련부서에서는 최근 몇 년간 우리나라는 여러 가지 대외적인 충  격 속에서도 다른 나라와 차별화되는 강한 복원력(resilience)을 보여 왔다고 평가  한 후, 앞으로 국제금융시장의 변동성이 미국 통화정책 향방, 중국경제 상황 등에  따라 확대될 수 있고, 국제채권금리의 매우 낮은 수준 등을 감안할 때 탠트럼과  같은 시장 불안이 재연될 가능성도 배제할 수 없다는 점 등에 유의하는 한편, 장  기적으로는 원화 국제화 추진이나 대외자산 운용 등에 대해서도 연구 노력을 지  속하겠다고 답변하였음","금리/NNG;매우/MAG;낮/VA,대외/NNG;충격/NNG,경제/NNG;확대/NNG"
647,2016-05-13,"또 다른 일부 위원은 미국의 통화정책 정상화 및 중국의 성장구조 전환이 진  행되는 과정에서 세계경제의 성장세가 다소 둔화될 수 있다는 것은 어느 정도 예  측된 부분이라고 언급한 후, 앞으로의 미국 금리인상 속도에 대한 관심뿐만 아니  라 양적완화 종료 이후의 금융·경제 상황 변화에 대해서도 자금흐름 측면에서 평  가해 볼 필요가 있다고 당부하였음","세계/NNG;경제/NNG;성장/NNG,양적완화/NNG;종료/NNG,금리/NNG;인상/NNG"
648,2016-05-13,"이어서 동 위원은 외국인자금의 유출입 흐름을 모니터링 하는 것도 중요해  보이지만 거주자의 해외투자현황에 대해서도 점검해 볼 필요가 있다고 강조한  후, 특히 해외증권투자의 경우 미국이나 유로지역을 중심으로 주식시장에 상당한  규모가 투자되어 있는 것으로 나타나는데, 이러한 자산이 글로벌 유동성 확대 등  에 힘입어 일부 고평가되어 있는 점을 감안해 볼 때 앞으로 미국의 통화정책 정  상화가 계속된다면 가격조정이 빠르게 일어날 수 있으며 이 경우 거주자의 손실  가능성도 배제할 수는 없을 것이라고 우려하면서, 이에 대한 심도 있는 분석과  함께 민간부문에 대한 커뮤니케이션 등 거시경제정책 차원에서의 노력도 필요해  보인다는 견해를 나타내었음",글로벌/NNG;유동성/NNG;확대/NNG
650,2016-05-13,"한편 일부 위원은 이번에 발표된 미국 재무부의 환율보고서에 따르면 우리나    - 10 -  라가 심층분석대상국에 포함되지 않고 관찰대상국으로 분류되었는데, 심층분석대  상국 지정요건이나 경상수지 움직임 등을 감안할 때 앞으로 원화환율의 절상압력  이 높아질 것이라는 관측이 있을 수 있으며 스웨덴, 스위스, 덴마크 등의 경우 마  이너스 금리 도입을 통해 외환시장에서 자국 통화가치의 안정을 도모하였다는 해  석도 있다고 언급하면서, 이에 대한 관련부서의 견해를 물었으며,  이에 대해 관련부서에서는 BHC(Bennet-Hatch-Carper) 법안이 심층분석대상국  에 대한 여러 가지 제약조항들을 담고 있기 때문에 지정요건 자체가 외환당국의  정책여력을 축소시키고 이것이 환율하락 압력을 높일 수 있다는 시각도 있지만,  국제금융시장에서 달러화 강세 전망이 여전히 우세한 데다 환율보고서에서도 우  리나라가 매입위주의 비대칭적 외환시장 개입에서 벗어난 것으로 평가하고 있어  앞으로도 심층분석대상국으로 지정될 가능성은 크지 않아 보인다고 답변하였음","원화/NNG;환율/NNG;절상/NNG,자국/NNG;통화/NNG;안정/NNG,정책/NNG;여력/NNG;축소/NNG,절상/NNG;압력/NNG;높/VA,하락/NNG;압력/NNG;높/VV"
651,2016-05-13,"다른 일부 위원은 작년 하반기 미국의 통화정책 정상화와 관련한 불확실성이  높아지면서 글로벌 자금흐름의 변동성이 확대되는 등 국제금융시장이 불안정한  모습을 보였지만, 최근에는 미국 금리인상 속도에 대한 많은 논란에도 불구하고  글로벌 자금이 상당히 안정적인 흐름을 이어가고 있다고 언급하고, 이러한 움직  임이 경제주체들의 학습효과나 예측능력 강화 등에 기인한 것으로 해석해 볼 수  있는지, 아니면 일시적인 현상에 불과한 것으로 보아야 하는지 관련부서의 견해  를 물었으며,  이에 대해 관련부서에서는 최근 글로벌 자금이 안정적인 흐름을 보이고 있는  것은 여러 가지 경험을 통해 시장 나름대로의 반응능력을 키운 데다 정책당국의  커뮤니케이션도 상당히 정교해진 데 기인한 것으로 보이며, 다만 채권자금의 경  우에는 금리수준 자체가 매우 낮아진 상황이어서 앞으로의 여건변화에 상대적으  로 민감하게 반응할 가능성도 있다고 답변하였음","자금흐름/NNG;변동성/NNG;확대/NNG,국제/NNG;금융시장/NNG;불안정/NNG,불확실성/NNG;높/VA,금리/NNG;인상/NNG,자금/NNG;안정/NNG"
652,2016-05-13,"일부 위원은 기업구조조정을 앞두고 국제신용평  가회사나 외국투자은행을 중심으로 국내은행의 수익성과 자본건전성에 대한 우려  가 높아지고 있다고 언급하고, 특히 은행의 자본건전성은 경제·금융 시스템의 리  스크를 제어할 수 있는 핵심적인 복원력이기 때문에 국책은행뿐만 아니라 일반은  행에 대해서도 금융안정 차원에서 면밀히 점검해 볼 필요가 있다고 강조하면서,  만일 조선, 해운 등 5대 취약업종 전체로 부실이 확대될 경우 일반은행의 자본건  전성에 어떠한 영향을 미칠지 관련부서에 물었음","취약/NNG;업종/NNG;부실/NNG,건전성/NNG;우려/NNG;높/VA,금융시스템/NNG;위험/NNG,부실/NNG;확대/NNG"
653,2016-05-13,"- 11 -  이에 대해 관련부서에서는 5대 취약업종 전체로 부실이 확대될 경우 추가적  인 대손충당금 적립 등을 통해 은행의 자본건전성이 영향을 받게 되는데 정확한  파급규모는 업종별 여신건전성 현황이나 개별 차주의 재무정보 등을 토대로 추정  해 보아야 할 것으로 판단된다고 답변하고, 다만 일반은행의 경우에는 자본적정  성비율이 매우 높은 수준이어서 부실이 일부 확산되더라도 감내 가능할 것으로  보인다고 덧붙였음","취약/NNG;업종/NNG;부실/NNG,부실/NNG;확대/NNG,부실/NNG;확산/NNG"
654,2016-05-13,다음으로 동 위원은 만성적 한계기업 여신의 상당부분이 정상여신으로 분류  되고 있다는 분석이 있는데 이러한 여신이 요주의여신으로 재분류될 경우 추가적  으로 적립하여야 할 대손충당금 규모를 추정해 보고 이로 인해 일반은행의 금융  중개기능이 위축될 가능성은 없는지 살펴 볼 필요가 있다는 의견을 나타내었음,금융중개기능/NNG;위축/NNG
656,2016-05-13,"이어서 동 위원은 중소기업대출의 증가세가 작년보다 둔화되긴 하였지만 아  직까지 금융중개기능의 위축을 우려할 단계는 아닌 것으로 보인다고 언급한 후,  최근 중소제조업대출이 이전과는 달리 경기와 순행하는 것으로 나타났다는 분석  이 있는데 이것이 은행의 회수유예대출(forbearance lending) 축소나 리스크 관리  강화 등을 반영한 결과는 아닌지 관련부서에 물었으며,  이에 대해 관련부서에서는 회수유예대출 축소와 관련한 부분도 없지는 않겠  으나 구조조정 추진과정에서 은행들의 대출태도가 강화된 데 주로 기인한 것으로  보인다고 답변하였음","중소기업/NNG;대출/NNG;증가/NNG;둔화/NNG,은행/NNG;대출태도/NNG;강화/NNG,금융중개기능/NNG;위축/NNG,위축/NNG;우려/NNG,대출/NNG;축소/NNG"
657,2016-05-13,"다음으로 동 위원은 은행들이 대기업에 대한 리스크 관리를 강화하면서 대출  포트폴리오 조정 차원에서 담보대출 위주로 중소기업이나 가계에 대한 영업을 확  대할 가능성은 없는지 물었으며,  이에 대해 관련부서에서는 최근 신용경계감 증대 등으로 은행들의 대출태도  가 강화되고 있는 것으로 조사되었다고 설명하고, 대기업 여신을 대신하여 우량  중소기업에 대한 영업활동을 확대할 가능성은 있으나 이러한 움직임이 가계대출  로까지 이어질 개연성은 그다지 커 보이지 않는다고 답변하였음","은행/NNG;대출태도/NNG;강화/NNG,신용/NNG;경계/NNG"
658,2016-05-13,이에 동 위원은 최근 주택외담보대출이나 자영업자대출 등이 늘어나고 있는  것이 은행의 영업행태와 무관하다고 할 수 없는 만큼 이에 대한 모니터링이 필요  해 보인다고 언급하였음,대출/NNG;늘/VV
659,2016-05-13,"- 12 -  또한 동 위원은 본원통화대비 통화승수가 계속 낮아지고 있는데 최근 들어서  는 M1, M2 증가율이 하락하는 가운데 발생하고 있다고 언급한 후, 이러한 현상이  심화될 경우 금융부문의 신용창출능력 저하로 통화정책의 유효성이 제약될 수 있  는 데다 통화승수의 변화가 실질GDP증가율과 밀접한 관계가 있다는 분석도 있는  만큼 통화승수 움직임에 대한 심도 있는 연구가 필요해 보인다는 견해를 제시하  였으며,  이에 대해 관련부서에서는 통화승수가 낮아지고 있는 것은 통화승수의 분모  인 본원통화가 5만원권 발행에 따른 민간의 현금보유성향 확대, 단기수신 유입으  로 인한 은행의 지준수요 증가 등으로 늘어난 데 주로 기인한다고 설명한 후, 금  년 들어 대출증가율이 소폭 둔화되고 있으나 예년 평균에 비해서는 매우 높은 수  준이라고 답변하였음","통화정책/NNG;유효/NNG;제약/NNG,수요/NNG;증가/NNG;늘/VV,통화승수/NNG;낮/VA"
661,2016-05-13,"또 다른 일부 위원은 최근 회사채시장을 보면 신용등급별 스프레드가 확대되  고 있는데 이것이 은행대출 등 간접금융시장에서도 나타나고 있는 공통된 현상인  지 관련부서에 물었으며,  이에 대해 관련부서에서는 일반적으로 은행은 기업의 신용위험을 담보 요구  나 가산금리 조정 등을 통하여 반영하고 있는데 장기적 시계에서 담보대출비중이  높아지고 있는 점 등을 감안해 보면 간접금융시장에서도 나름대로의 신용차별화  현상이 관측되고 있는 것으로 보인다고 답변하였음",기업/NNG;신용위험/NNG
662,2016-05-13,"한편 일부 위원은 최근 고정금리나 비거치식 분할상환 대출의 비중이 확대되  는 등 가계부채의 질적 구조가 개선되고 있다고 언급하면서, 여신심사 선진화 가  이드라인이 금년 2월부터 수도권을 대상으로 실시되고 5월부터는 비수도권으로    - 13 -  확대되었는데 이것이 가계부채에는 어떠한 영향을 미칠 것으로 보는지 관련부서  의 견해를 물었으며,  이에 대해 관련부서에서는 여신심사 선진화 가이드라인은 가계부채의 질적  구조개선을 목표로 하고 있으며 동 가이드라인이 은행권에서 시행되는 과정에서  대출수요의 일부가 비은행권으로 옮겨가는 모습이 일부 나타나고 있다고 답변하  였음",가계/NNG;부채/NNG;질적/VAX;구조/NNG;개선/NNG
663,2016-05-13,"이어서 동 위원은 회사채시장의 신용양극화가 지속되고 있는데 앞으로 구조  조정이 추진되는 과정에서 이러한 현상이 심화될 가능성은 없는지 관련부서에 물  었으며,  이에 대해 관련부서에서는 구조조정 관련기업의 신용위험은 회사채시장에 기  반영된 것으로 보이며 다만 구조조정 추진과정에서 예기치 않은 신용사건 등이  발생하게 될 경우에는 신용양극화 현상이 심화될 가능성이 있다고 답변하였음",기업/NNG;신용위험/NNG
665,2016-05-13,또한 일부 국책은  행의 자본 확충 문제와 관련하여서는 이번에 협의체가 구성된 만큼 이를 통해 심  도 있게 논의해 보는 것이 좋겠다는 견해를 나타내었음,자본/NNG;확충/NNG
666,2016-05-13,"아울러 동 위원은 최근 유럽의 경우 ECB의 마이너스 정책금리 도입 등으로  예대마진이 축소되고 채권수익률곡선이 하향 평탄화 되면서 은행의 수익성 악화  등에 대한 우려가 꾸준히 제기되어 왔으며, IMF 역시 글로벌 보험사들이 저금리  장기화 등에 대응하여 위험자산에 대한 투자를 확대하고 있다면서 이로 인한 자  산건전성 악화 가능성을 지적한 바 있다고 언급하고, 이러한 현상이 우리나라의  은행이나 보험사에도 나타날 가능성은 없는지 관련부서에 물었으며,  이에 대해 관련부서에서는 저금리 기조가 장기간 유지되면서 국내은행의 수  익성이 저하되고 있는 것은 사실이지만, 자산건전성이나 손실흡수력 측면에서 보  면 고정이하여신비율이 비교적 낮고 충당금적립비율도 높은 수준이어서 여전히  양호한 것으로 평가되며, 서베이(survey) 결과에서도 국내은행이 위험자산 투자를  통한 수익성 제고보다는 리스크 관리에 기반한 안정성 확보에 중점을 두고 있는  것으로 나타났다고 답변하였음","은행/NNG;수익성/NNG;악화/NNG;우려/NNG,위험자산/NNG;투자/NNG;확대/NNG,자산/NNG;건전성/NNG;악화/NNG,예대마진/NNG;축소/NNG,하향/NNG;플래트닝/NNG,수익성/NNG;저하/NNG,안정성/NNG;확보/NNG"
667,2016-05-13,"다음으로 국내보험사와 관련하여서는 2014년 이  후 수익성 개선 등을 위해 대출이나 회사채 등에 대한 투자를 확대하긴 하였으나    - 14 -  글로벌 보험사들에 비해서는 위험자산 투자비중이 크지 않은 상황이어서 아직까  지 자산건전성을 우려할 단계는 아닌 것으로 보인다고 설명하고, 앞으로도 이에  대한 모니터링을 계속 강화해 나가겠다고 언급하였음","회사채/NNG;투자/NNG;확대/NNG,자산/NNG;건전성/NNG;우려/NNG,수익성/NNG;개선/NNG"
668,2016-05-13,"다른 일부 위원은 여신심사 선진화 가이드라인 시행 등으로 가계부채가 질적  으로 개선되는 조짐을 보이고 있다는 견해를 나타낸 후, 다만 집단대출이 금년  들어 가파른 증가세를 보이고 있는데 이는 신용위험 평가나 관리에서 일반주택담  보대출보다 다소 완화된 기준이 적용되고 있는 데에 기인할 수 있다는 취지로 발  언하였음",가계/NNG;부채/NNG;질적/VAX;개선/NNG
669,2016-05-13,"이에 대해 관련부서에서는 금년 들어 집단대출이 큰 폭으로 늘어난 것은 주  로 지난해 대규모 아파트분양에 따른 영향이 시차를 두고 이어진 데 기인한 것으  로, 이러한 점을 감안할 때 앞으로도 집단대출이 가계대출 증가세를 견인할 것으  로 보인다고 답변하였음",집단/NNG;대출/NNG;가계/NNG;대출/NNG;증가/NNG
671,2016-04-19,"일부 위원은 최근 원화가치의 절상폭이 확  대되고 있는 가운데 미국 BHC(Bennet-Hatch-Carper) 법안의 도입 자체만으로 외  환시장의 변동성이 높아질 수 있다면서, 환율변동이 투자나 수출, 경제주체의 심  리 등 실물경제에 미치는 영향에 대해 보다 면밀하게 검토할 필요가 있으며 외환  시장 안정 등에도 계속 노력해 달라고 당부하였음","외환시장/NNG;변동성/NNG;높/VA,원화/NNG;절상/NNG;확대/NNG,외환시장/NNG;안정/NNG"
673,2016-04-19,"또 다른 일부 위원은 우리나라 외환스왑시장을 보면 무위험 금리평형이론과  달리 과거부터 차익거래유인이 존재해 왔는데, 금융위기 당시 플러스 방향으로  크게 확대되었다가 최근에는 마이너스 상태(3개월물)를 지속하고 있다고 언급하면  서, 최근 차익거래유인이 마이너스를 보이고 있는 이유는 무엇인지, 이러한 움직  임에 대해 관련부서에서는 어떻게 평가하고 있는지 물었으며,  이에 대해 관련부서에서는 금년 들어 차익거래유인이 마이너스를 보이고 있  는 것은 풍부한 외화자금 공급 등으로 스왑레이트가 내외금리차를 상회한 데 주  로 기인하고 있으며, 금융위기 당시와 비교해 볼 때 이러한 움직임은 리스크 프  리미엄(risk premium) 축소, 외환시장 효율성 제고 등을 반영한 결과로 해석된다고  답변하였음","위험/NNG;프리미엄/NNG;축소/NNG,금융위기/NNG;플러스/NNG,금리갭/NNG;상회/NNG"
674,2016-04-19,"- 9 -  이어서 동 위원은 최근 엔화가 미 연준의 금리인상 속도 완화, 투기적 엔화  매수세 지속, 엔화의 안전통화로서의 매력 부각 등으로 강세를 지속하고 있다고  언급하면서 앞으로 일본 등 주요 선진국의 통화정책방향이나 국제금융시장 동향  등을 면밀히 살펴볼 필요가 있다고 당부하였음",fed/NNG;금리/NNG;인상/NNG;속도/NNG;완화/NNG
676,2016-04-19,"또한 동 위원은 미국이 금리정상화 시기를 늦춤으로써 국제유가 하락이나 신  흥국 부채 문제 등이 완화되긴 하였지만 이것이 엔화나 유로화 강세를 통해 일본  이나 유럽에 새로운 경기부양 부담을 안기게 되었다는 견해가 있다면서, 미국이  이러한 국제 정책공조의 딜레마(dilemma) 속에서 앞으로 금리정책의 시나리오를  어떻게 전개해 나갈 것으로 보는지 관련부서의 견해를 물었으며,  이에 대해 관련부서에서는 미국이 세계경제 불확실성 등을 감안하여 성장경  로를 점검해 나가겠다는 입장을 밝힌 만큼 앞으로 미 연준이 금리인상 속도를 완  만하게 이어갈 가능성이 있는 것으로 보고 있다고 답변하였음","세계/NNG;경제/NNG;불확실성/NNG,fed/NNG;금리/NNG;인상/NNG,국제/NNG;유가/NNG;하락/NNG,부채/NNG;문제/NNG;완화/NNG,경기/NNG;부양/NNG;부담/NNG,새롭/VA;경기/NNG;부양/NNG"
677,2016-04-19,"아울러 동 위원은 최근 원화환율 변동성이 높아지고 있는 점 등을 감안하여  외환시장의 대외충격 완충능력을 제고할 필요가 있다면서, 외국 중앙은행의 연구  결과에 따르면 건강한 제도적 틀을 가진 나라의 경우 금융스트레스 시기에 국내  투자자들이 자본을 국내로 환류시킴으로써 그 부정적 영향을 완화시키는 경향이  있는 것으로 나타났다고 언급하고, 우리나라도 금융규제의 일관성 등 제도의 질  적 수준을 높여 나감으로써 대외충격에 따른 부정적 영향을 최소화하려는 노력이  필요해 보인다는 견해를 나타내었음","부정적/VAX;영향/NNG;완화/NNG,대외/NNG;충격/NNG,변동성/NNG;높/VA"
679,2016-04-19,"한편 일부 위원은 최근 국제금융시장의 위험회피심리가 완화되면서 국내 외  환·금융시장도 안정화되고 있는데 당행이 통화정책을 운용함에 있어 이러한 완화  기조가 얼마나 지속될지가 중요하다고 언급한 후, 미국 금리인상경로가 그 지속  성 판단의 중요한 변수로 작용할 수 있으며 이는 결국 미국의 인플레이션 향방    - 10 -  문제로 귀결된다고 지적하였음","국제/NNG;금융시장/NNG;위험/NNG;회피/NNG,금융시장/NNG;위험/NNG;회피/NNG;완화/NNG,금리/NNG;인상/NNG"
680,2016-04-19,"이와 관련하여 최근 미국 인플레이션 전망에 대  한 두 가지 상반된 시각, 즉 고용지표가 호조를 보이고 근원PCEPI나 근원CPI도  오름세를 이어가면서 조만간 물가상승압력이 가시화될 수 있을 것이라는 견해와  아직 평균임금상승률이 노동비용 상승을 부추길 정도는 아니어서 당분간 물가상  승압력이 높아질 가능성은 크지 않다는 주장을 설명하였으며, 이에 더하여 미 연  준이 인플레이션율 2% 상회를 용인할 것인지에 대해서도 여전히 논란으로 남아  있다면서 이에 대한 관련부서의 견해를 물었으며,  이에 대해 관련부서에서는 미국의 인플레이션 흐름에는 고용지표가 크게 영  향을 미칠 수 있겠지만 저유가, 달러화 강세 등도 요인으로 작용할 수 있다고 답  변하였으며, Yellen 미 연준 의장의 물가목표치 2%는 상한이 아니라는 발언 등으  로 미루어볼 때 앞으로 미국은 인플레이션율이 2%를 상회하더라도 이것이 기조  적으로 계속 지지될 것이라는 확신이 없는 한 현재의 점진적 금리인상 입장을 견  지해 나갈 것으로 판단된다고 답변하였음","고용/NNG;지표/NNG;호조/NNG,물가/NNG;상승/NNG;압력/NNG,노동/NNG;비용/NNG;상승/NNG,인플레이션/NNG;상회/NNG,금리/NNG;인상/NNG"
682,2016-04-19,"또한 동 위원은 증권투자자금이 2월 중순부터 순유입으로 돌아서고 있지만  이러한 흐름이 지속될지 여부는 여전히 불투명해 보인다면서, IMF 역시 신흥국  기업부채 문제 등 펀더멘털이 크게 변하지 않은 상황에서 글로벌 자금이 신흥국  으로 유입되고 있는 것에 대해 우려를 나타낸 바 있다고 언급한 후, 최근 우리나  라로 유입되고 있는 외국인 자금에 대해서도 펀더멘털에 기댄 장기투자라기보다  는 ETF와 같은 단기투자 성격으로 보는 시각이 있는데 미국 금리인상 전후를 비  교해 볼 때 외국인 국내 증권투자자금의 투자성향이나 투자기간 등에서 달라진  부분이 있는지 관련부서의 견해를 물었으며,  이에 대해 관련부서에서는 단기투자 자금도 일부 있겠지만 기본적으로는 기  관투자자 위주의 자금이 유입되고 있는 것으로 알고 있다고 답변하였음",금리/NNG;인상/NNG
684,2016-04-19,"- 11 -  다른 일부 위원은 최근 국제금융시장이 안정세를 보이고는 있지만 이러한 흐  름을 반전시킬 수 있는 위험요인들도 산재해 있는 상황이라면서, 그 예로 미 연  준의 추가 금리인상, 중국경제의 성장세 둔화, 브렉시트 가능성, 원자재가격 불안  정, 유럽계은행 신용위험 증대 등을 제시한 후, 그동안 이러한 요인들에 대한 모  니터링이나 분석이 어느 정도 잘 이루어져 왔으나 브렉시트 가능성에 대한 관심  은 상대적으로 부족했던 것으로 보인다고 평가하고, 첫째, 영국이 국제금융시장에  서의 지위가 높고 EU에서의 GDP나 인구 비중이 상당하다는 점, 둘째, 최근 IMF  가 브렉시트가 현재화될 경우 그 충격이 영국과 EU를 넘어 글로벌 경제에 미칠  것으로 진단한 점, 셋째, 영란은행 역시 브렉시트와 관련한 불확실성이 기업의 투  자결정을 지연시키는 등 이에 따른 부정적 영향을 우려하고 있다는 점, 넷째, 서  베이 결과에 따르면 잔류의견와 탈퇴의견이 팽팽히 맞서고 있어 브렉시트가 실현  될 가능성이 낮다고만 단정할 수 없다는 점 등을 들어 브렉시트 실현 가능성 및  이에 따른 외환·금융시장 영향 등에 대해 면밀히 분석할 필요가 있다는 견해를  나타내었음","금리/NNG;인상/NNG;경제/NNG;성장/NNG;둔화/NNG,국제/NNG;금융시장/NNG;안정/NNG,부정적/VAX;영향/NNG;우려/NNG,브렉시트/NNG;불확실성/NNG,은행/NNG;신용위험/NNG,신용위험/NNG;증대/NNG,가격/NNG;불안정/NNG"
686,2016-04-19,이에 동 위원은 이와 관련하여 기본 원칙을 벗어나지 않는 범위 내에서 당행  이 할 수 있는 부분은 무엇인지 검토해 볼 필요가 있다는 의견을 제시하였음,원칙/NNG;벗어나/VV;않/VX
